GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.735092,0.7472199656,1.0,0.8694646047344107,0.8694646043235725,0.8628319968260352,0.8983503677703321,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.6987399999999999,0.7358281408,0.4631834641206708,0.44816995592106584,0.4481699559210661,0.4466761010204953,0.44879535385767666,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.757161,0.7329679988000001,0.9790681246606835,0.8179003042302535,0.8179003042302537,0.8170176389736306,0.8329099181049712,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.6806479999999999,0.654120024,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.6531779999999999,0.65691316,1.0,0.03603663618055754,0.036036636180559266,0.035785009642143525,0.03826873105026777,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.7083010000000001,0.6840746332000001,0.8053956806953992,0.36073307854897274,0.3607330785489725,0.3621994936836022,0.3797552821530819,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.7195060000000001,0.7083134799999999,1.0,0.8786668795162131,0.8786668791076541,0.8359735737817825,0.8996260680050142,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.7128359999999999,0.7471817199999999,0.8557751023188249,0.8029498103128796,0.8029498103128797,0.7995982991767155,0.8074425099395097,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.737097,0.7385094536000001,0.4513605911494111,0.43831565208536566,0.4383156520853656,0.43120141726160366,0.4387307003970862,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.6824720000000001,0.6491341704,0.4829504257925133,0.15077924397421713,0.1507792439956231,0.15041713718191146,0.15658470802655036,0.5,0.25,0.25,5000,2,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.7501680000000001,0.7613438405999999,0.8690819394491054,0.6386231776283233,0.6386231779484522,0.6159713782445511,0.6550648797058612,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.7017979999999999,0.6496211616,0.6506547255941031,0.4444359107254197,0.44443591060092513,0.43484786174540346,0.4551379762431046,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.7017180000000001,0.7236021699999999,0.7179498247814562,0.2533710670199416,0.2533710670565521,0.23028299019592022,0.264984585078656,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.76215,0.807975506,0.21345050876666208,0.20220546133775588,0.20220546136863707,0.2022596347689244,0.2021959860393851,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.692186,0.6510109420000001,0.1422802786445353,0.025330105810338257,0.025330105810338416,0.025141480798927165,0.02542335250357077,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.73338,0.6763990784,0.11406554977848804,0.06765309929363778,0.06765309929363793,0.06833644176215804,0.06748379138883376,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.7002689999999999,0.6703410606,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.7347520000000001,0.7321788864000001,1.0,1.0,1.0,0.8759954778056003,1.0,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.68685,0.677878912,0.013957058570697857,0.013674938255897502,0.013674938255752118,0.013700423890212836,0.013415513933188319,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.749216,0.75771676,0.2515283782261005,0.20175969299739863,0.20175969301348928,0.20227670028656047,0.20227659678726537,0.5,0.25,0.25,5000,2,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.704731,0.7140159046000001,0.14193622013538582,0.128432828517004,0.1284328285170037,0.1284781882528309,0.1274703900958058,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.76645,0.7551707792,0.32996604831510223,0.039600425966598914,0.039600425967411965,0.03988429826056863,0.04055258989329449,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.742925,0.7843102252,0.003902920454351263,0.003727247577108318,0.003727247577098862,0.003729186167762443,0.003488064138303436,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.708901,0.7192503608,0.07218573811075438,0.0657634314334647,0.06576343143346439,0.06584410061556407,0.0655064250644335,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.725974,0.7000508035999999,0.07012119564858761,0.008923319994102258,0.00892331999410241,0.009100951513050034,0.008688812172171979,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.729727,0.7129295312,0.14638944047472735,0.10034634548653801,0.10034634548271366,0.09648843117299509,0.10047423522350071,0.5,0.25,0.25,5000,2,0.1,2,0.02,3,20000,EQUAL,3,False,False
