EstCombined,Est1,Est2,SimCombined,Sim1,Sim2
0.482494,0.441567,0.34052,0.4998476978640181,0.4998476978640181,0.4998476978640181
0.663871,0.701441,0.568986,0.49773867123867455,0.49773867123867455,0.49773867123867455
0.290687,0.211599,0.168049,0.4984940228483529,0.4984940228483529,0.4984940228483529
0.47285,0.598428,0.427022,0.4999493063965008,0.4999493063965008,0.4999493063965008
0.166286,0.063849,0.470007,0.4999832296083682,0.4999832296083682,0.4999832296083682
0.712169,0.687761,0.75983,0.4994850340451521,0.4994850340451521,0.4994850340451521
0.263542,0.28015,0.289381,0.49961830467753127,0.49961830467753127,0.49961830467753127
0.483246,0.478885,0.61825,0.4998839933469172,0.4998839933469172,0.4998839933469172
0.320664,0.282478,0.327773,0.4999999643760915,0.4999999643760915,0.4999999643760915
0.580007,0.597247,0.722914,0.4974347624614486,0.4974347624614486,0.4974347624614486
0.488157,0.519691,0.377172,0.49981242558258165,0.49981242558258165,0.49981242558258165
0.588368,0.596839,0.572839,0.49993419222961705,0.49993419222961705,0.49993419222961705
0.267312,0.224829,0.161278,0.4998441691198484,0.4998441691198484,0.4998441691198484
0.267235,0.347416,0.120672,0.499188642751816,0.499188642751816,0.499188642751816
0.50874,0.312691,0.532926,0.49971288204298847,0.49971288204298847,0.49971288204298847
0.427051,0.350002,0.409451,0.49999739575206115,0.49999739575206115,0.49999739575206115
0.330255,0.161067,0.281145,0.49990054715352367,0.49990054715352367,0.49990054715352367
0.293654,0.309278,0.258489,0.4999999913637365,0.4999999913637365,0.4999999913637365
0.649397,0.68859,0.556902,0.4975610550968763,0.4975610550968763,0.4975610550968763
0.435622,0.374849,0.394829,0.49980633788025025,0.49980633788025025,0.49980633788025025
0.558124,0.462487,0.69522,0.49826783782141937,0.49826783782141937,0.49826783782141937
0.408541,0.211158,0.429864,0.4998508566300652,0.4998508566300652,0.4998508566300652
0.162342,1e-06,0.23519,0.49994542904767475,0.49994542904767475,0.49994542904767475
0.416917,0.421774,0.367176,0.49999299201083236,0.49999299201083236,0.49999299201083236
0.286801,1e-06,0.316564,0.499572355173368,0.499572355173368,0.499572355173368
0.291855,0.120511,0.363436,0.49984494925280104,0.49984494925280104,0.49984494925280104
0.266757,0.227278,0.395639,0.498762039404749,0.498762039404749,0.498762039404749
0.557389,0.549697,0.490863,0.49986861597718374,0.49986861597718374,0.49986861597718374
0.407289,0.378784,0.468041,0.49921780793137466,0.49921780793137466,0.49921780793137466
0.55647,0.471862,0.498816,0.4998616797814829,0.4998616797814829,0.4998616797814829
0.600062,0.64948,0.661169,0.49654791450423447,0.49654791450423447,0.49654791450423447
0.588411,0.77099,0.397088,0.4979444081220504,0.4979444081220504,0.4979444081220504
0.544191,0.425485,0.522127,0.4999827602205097,0.4999827602205097,0.4999827602205097
0.264952,0.391972,0.240728,0.4998831943614579,0.4998831943614579,0.4998831943614579
0.473043,0.370819,0.661562,0.4999640352992462,0.4999640352992462,0.4999640352992462
0.445135,0.62345,0.189296,0.49975656994522805,0.49975656994522805,0.49975656994522805
0.508117,0.662354,0.470684,0.49892909414948344,0.49892909414948344,0.49892909414948344
0.237905,1e-06,0.278141,0.4997489086348346,0.4997489086348346,0.4997489086348346
0.59508,0.566464,0.588517,0.4987035068512862,0.4987035068512862,0.4987035068512862
0.532549,0.553388,0.516774,0.49992818872947126,0.49992818872947126,0.49992818872947126
0.560576,0.533665,0.574002,0.49999831175188747,0.49999831175188747,0.49999831175188747
0.458403,0.407328,0.540613,0.4976119695587474,0.4976119695587474,0.4976119695587474
0.184115,1e-06,0.394669,0.4999527572868681,0.4999527572868681,0.4999527572868681
0.507917,0.496243,0.621957,0.4998145937763326,0.4998145937763326,0.4998145937763326
0.378033,0.436117,0.211155,0.49999799622260666,0.49999799622260666,0.49999799622260666
0.690966,0.506369,0.743476,0.4989170353020038,0.4989170353020038,0.4989170353020038
0.105325,0.030598,0.178339,0.49987082271485267,0.49987082271485267,0.49987082271485267
0.552503,0.730244,0.220621,0.4999982909165408,0.4999982909165408,0.4999982909165408
0.227803,0.05702,0.435504,0.4998290487445393,0.4998290487445393,0.4998290487445393
0.571032,0.529377,0.533768,0.4999677247835262,0.4999677247835262,0.4999677247835262
