h2,SE,Pheno,PCs,Time for analysis(s),Memory Usage
0.5631931554979375,0.02444268972288861,1.0,0.0,0.07707146500251838,772316.0
0.7347059539143472,0.027811688529675204,1.0,1.0,0.09502754999994067,967404.0
0.755614694394505,0.028166013237089015,1.0,2.0,0.14587834299891256,967556.0
0.7716037031917348,0.028431046115144652,1.0,3.0,0.1492925220009056,971828.0
0.7720055541384843,0.028451492656914653,1.0,4.0,0.1464845989976311,971852.0
0.7685583712706612,0.028471934661566427,1.0,5.0,0.1535450689989375,971852.0
0.7697579837952749,0.02849228012466409,1.0,6.0,0.1464707000013732,972148.0
0.5631931554979375,0.02444268972288861,2.0,0.0,0.07434339799874579,972160.0
0.7347059539143472,0.027811688529675204,2.0,1.0,0.09064719100206275,972160.0
0.755614694394505,0.028166013237089015,2.0,2.0,0.14416334199995617,972168.0
0.7716037031917348,0.028431046115144652,2.0,3.0,0.14425683100125752,972168.0
0.7720055541384843,0.028451492656914653,2.0,4.0,0.14376881700081867,972168.0
0.7685583712706612,0.028471934661566427,2.0,5.0,0.14680540799963637,972168.0
0.7697579837952749,0.02849228012466409,2.0,6.0,0.14745359500011546,972168.0
NA,0.02444268972288861,3.0,0.0,0.07560382100200513,972168.0
NA,0.027811688529675204,3.0,1.0,0.08947753699976602,972168.0
NA,0.028166013237089015,3.0,2.0,0.1445971639986965,972168.0
NA,0.028431046115144652,3.0,3.0,0.14539514300122391,972168.0
NA,0.028451492656914653,3.0,4.0,0.14395680899906438,972188.0
NA,0.028471934661566427,3.0,5.0,0.14340815999821643,972188.0
NA,0.02849228012466409,3.0,6.0,0.14486664099968038,972196.0
