,Est,SD,Var,Knot time,Time for analysis(s),Memory usage
GREML,0.336146,0.2680035667947759,1.1035044,0.6927513200007525,6.0259333699996205,1076612
PredLMM,0.7636686,0.06063889343011695,1.0222803,0.6927513200007525,6.027085101999546,1076612
