Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,0.785644,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.813850727,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.5674026312879891,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.7794354572991667,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.5700531845033842,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.5271890775969194,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.697482845376702,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.790154,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.810013766,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.5806434856707614,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.6719805108656104,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.5523903401609433,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.5321948379494121,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.6158776988215936,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.808854,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.19157618999999998,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.14929505877745247,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.10642979466387587,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.14730291981577323,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.14497812626834414,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.10451267871713837,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.703078,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.860022175,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.5444175712356965,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.687182549568788,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.6073358877833568,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.5106368022442253,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.6279979731519779,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.703229,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.7267371499999999,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.6261582899733031,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.710055966224526,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.6696852755869774,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.6321813986144197,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.6421658759846478,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.8447549999999999,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.350637881,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.2648469110416267,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.28445157834894436,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.25257324536480674,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.2477877436984356,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.2735643139410193,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.661971,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.53247663,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.3658422263747866,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.3418790857188827,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.35477283007972116,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.3486180609453074,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.3244959962786935,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.76874,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.8479871019999999,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.6466885580259389,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.8763844198117811,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.7047278737446578,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.6830184749295337,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.7885325342238236,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.816688,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.832567149,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.5830049376773138,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.7459446031431085,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.615264253197241,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.561233927608256,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.6687045880735275,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
GCTA,0.8625700000000001,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nGCTA,0.910279383,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
nAdjHE,0.5600816542246612,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE,0.8480519702978981,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
SWD,0.641952803202602,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
Combat,0.5746116428617752,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
AdjHE_RE,0.7713584793201091,0.5,0.25,0.25,2000,25,0.1,5,0.02,0,20000,EQUAL,3,False,False
