Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,0.550647,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.5469866720000001,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.6109514305267337,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.6349457740057388,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.6349457740057352,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.6361670843714742,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.6346485446819804,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.743566,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.7308842420000001,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.7401545443451262,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.7539675517316567,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.7539675517316567,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.7534584523390696,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.7535772857738362,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.646957,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.6300434074999999,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.6241616059223907,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.6003178809868075,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.6003178809868075,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.5977075153967284,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.6000456948992462,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.648543,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.7013292659999999,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.7002100361421524,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.6935725841444524,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.6935725841444516,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.6942621668355065,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.6931705643642321,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.700961,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.61157214,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.6024624102648156,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.6959551643604338,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.6959551643604361,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.6922157322589869,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.695576338456759,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.665659,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nGCTA,0.5476287479999999,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
nAdjHE,0.4902507789091499,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE,0.6612390126469552,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
SWD,0.6612390126469576,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
Combat,0.6618329609037379,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
AdjHE_RE,0.6609041893600931,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
GCTA,0.765781,0.5,0.25,0.25,2000,2,0.1,1,0.02,2,20000,IID,3,False,False
