GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.722069,0.6165401648000001,0.12836676826938373,0.07692525116357918,0.04481198809841478,0.0458729810166994,0.10282476244588233,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.702635,0.5923144215999999,0.6923606274994918,0.5356695637258777,0.38305136137143925,0.34839476523684965,0.6804603450489162,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.692596,0.6170334008,0.1896672647321534,0.18452128490292552,0.05490411185392254,0.05444184222292763,0.2253834278409055,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.713021,0.328374569,0.043713990710328894,0.020452246153841135,0.011439920359491929,0.012028896731771401,0.026732030569852246,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.7330399999999999,0.5783354558,0.263968155265644,0.14785649803686948,0.1178773737655346,0.11664709188900692,0.19126170050973237,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.771364,0.6483861944,0.13524610507713725,0.05298296609385946,0.055878748931452685,0.05276368343725873,0.0701750751921524,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.71702,0.6673144158000001,0.8652,1.0,0.8793366341209932,0.7528305135768202,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.747957,0.7091296328000001,0.37320166401581534,0.32737777891553993,0.18451960782704335,0.18171483450933673,0.4166129492795012,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.712968,0.664113536,0.9999999999999999,1.0,0.8631149827730168,0.781937729188294,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.742374,0.4697089606,0.1608410730123059,0.10053814311611092,0.03748809962518121,0.03681522660385237,0.1306825666106282,0.5,0.25,0.25,5000,25,0.1,2,0.02,1,20000,EQUAL,3,False,False
0.71653,0.693965824,0.7930478010089361,0.5511893007722022,0.3340176869264938,0.32033176660637924,0.6871854805378078,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.730796,0.5191556174,0.22252429779494812,0.1216615161668746,0.0712952216788453,0.06789925320055823,0.16148370576148421,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.745175,0.5645386941999999,0.5415999343987058,0.3445897131812532,0.21579044295209135,0.20740342410637883,0.43155042064830473,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.7266520000000001,0.3836779704,0.03277568727554814,0.004634172606534423,0.003828702862799755,0.0037068265073754722,0.0056349874248565026,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.745213,0.6457655706000001,0.03190827716419529,0.008505732615247771,0.012017081077805823,0.012170984206035894,0.011014200041543923,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.716793,0.4981438074,0.332890183547554,0.2918520476387454,0.09163341603469474,0.08719421664015184,0.3847974771087677,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.699152,0.44197868700000004,0.6044720516816644,0.419154613756134,0.2241513281285233,0.22114513097046928,0.510643015435599,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.719857,0.6618669812,0.6303534238120327,0.3317693362501353,0.19670030076314943,0.1925773014437742,0.4071205411041506,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.756314,0.6806470318,0.0783383372621299,0.036167188436026475,0.011186203203975516,0.010710940820820523,0.04818029060451384,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.737305,0.6275583215999999,0.6541360213598308,0.5564132556882746,0.2750332381470899,0.2617648651160308,0.7003075277012004,0.5,0.25,0.25,5000,25,0.1,2,0.02,2,20000,EQUAL,3,False,False
0.697603,0.4324273784,0.09800852757164741,0.05995802773291375,0.03623211299236704,0.036079455456718416,0.08042813286965833,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.7068909999999999,0.5578870102000001,0.5680559383064888,0.4642517064785615,0.21390883744494477,0.19709078633190005,0.5947932282318036,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.74106,0.6809487895999999,1.0,1.0,0.7218139546771797,0.6684935565442607,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.718216,0.44932555339999997,0.5339228238010383,0.32231910459314794,0.15865238243804866,0.14835920421568105,0.4081637443758346,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.74631,0.6437669263999999,0.9420376483499637,0.8274482937049034,0.4996602240430512,0.4577268493756752,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
0.715221,0.6044066664,0.03500311254673708,0.02149561903417635,0.008178275351231997,0.007720014490220282,0.027927839133330745,0.5,0.25,0.25,5000,25,0.1,2,0.02,3,20000,EQUAL,3,False,False
