Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,0.674875,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.4611130345,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.43294887971084994,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.5811404123091796,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.6679948771935195,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.6631000555276982,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.5741941035508985,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.49466499999999997,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.4471079655,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.4632335595706015,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.3831674687063464,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.5261148921982158,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.5252964413860401,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.37819632081947846,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.810161,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.5238050269999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.5349621072922517,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.5033944393286521,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.6797682565055555,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.6750781801635096,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.4972268251672355,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.5719069999999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.6125328584999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.5953423367077202,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.4633993774447386,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.5188587396172109,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.52252725480181,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.45770325455595473,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.656155,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.4949334675,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.503576867189399,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.536285504739592,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.6608745537168546,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.657925186899991,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.5294438241022298,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.584716,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.5396272854999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.5863213550486681,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.4409124968917174,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.5606055235042184,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.5431130780204573,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.4356304141486287,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.59655,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.5808828709999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.5549142283996494,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.4638395673421541,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.5551480907624121,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.5548269395473938,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.4579864173011334,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.540914,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.546990494,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.45023009676800385,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.37581387195967597,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.49557274745818175,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.48552463454909317,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.37110681596387035,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.612816,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.5161741719999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.4987306766198548,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.4446973950237789,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.6005329044960761,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.6005994888847709,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.4395471406957263,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
GCTA,0.591993,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.4808028979999999,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.6217270111091963,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.5105894818644747,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
SWD,0.5764486081948261,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
Combat,0.5746183950417931,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.5044433557020198,0.5,0.25,0.25,2000,25,0.1,1,0.02,5,20000,EQUAL,3,False,False
