GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.6101850000000001,0.5903607396,0.6942498209996535,0.6953242504959571,0.6953242504959566,0.6954342957436813,0.5964934957821494,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.679689,0.6659717007999999,0.6378782737867897,0.7196408535965891,0.7196408535965886,0.7187692413464369,0.6791832274468795,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.652625,0.6992823072000001,0.7198803757280587,0.8019550498506007,0.8019550498506007,0.8004978529555079,0.6662157257113411,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.65925,0.7068585756000001,0.7644724291835323,0.7640560047450994,0.7640560047450982,0.76454689030794,0.6301744609455008,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.692353,0.6368260856,0.6919375516049193,0.6414298718442057,0.6414298718442049,0.6422633463229864,0.6728367068308669,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.672624,0.7073430358000001,0.802278311055882,0.8436223787753252,0.843622378775324,0.8435831957738187,0.7001966718221895,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.673279,0.6683091126,0.6587214445356062,0.7704219331123645,0.7704219331123652,0.7704283342760527,0.6458287307172621,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.661162,0.6449327894,0.7151059432507723,0.691788934725692,0.6917889347256913,0.6931544863588341,0.6648552064871257,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.6582359999999999,0.6892008158,0.7536096483772454,0.6659807809077948,0.6659807809077948,0.6675526846086631,0.6381729984136824,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.649216,0.6587654192000001,0.7614632386236972,0.5814905573707289,0.5814905573707277,0.5820742616017799,0.6628832697163453,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.6677109999999999,0.6853392779999999,0.6974368222777214,0.774981967578312,0.7749819675783114,0.7775632476071263,0.6611657619228019,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.665451,0.72675288,0.9130590665114915,0.6434017451651186,0.643401745165117,0.6430337678858872,0.657794253379163,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
