GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.6438560000000001,0.5596949391999999,0.30197521541714545,0.0,0.0,0.0,0.6348109969418445,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.661518,0.644852176,0.6659983797686623,0.8007084581432113,0.8007084581432113,0.8006833683526955,0.6653819459563807,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.674022,0.6974227390000001,0.7470611962998468,0.8180614273228991,0.818061427322899,0.8169133956156159,0.693383792171744,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.6701779999999999,0.6525486328000001,0.7233949204800928,0.0,0.0,0.0,0.699094367769776,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.662702,0.6442868986000001,0.7160167282218395,0.40853532861568775,0.4085353286156889,0.40816660601956245,0.6823789477651168,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.659726,0.6228602258,0.6684130083704269,0.7098909808664318,0.7098909808664309,0.7103151641719494,0.6159053721241564,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.679172,0.730584635,0.6420525695276027,0.826257148926067,0.8262571489260657,0.8251167956389747,0.7060030579627706,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.657153,0.7046898236000001,0.7463171338727235,0.23742707920885273,0.23742707920885134,0.23842009517089047,0.6379443189761655,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.673466,0.6824774636,0.7960457801769518,0.7697427239237594,0.7697427239237601,0.769678791819531,0.6892299591278941,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.63858,0.6646552132000001,0.41060974798001526,0.7584021218249914,0.7584021218249929,0.75784249396842,0.6629041907730776,0.5,0.25,0.25,5000,2,0.1,1,0.02,1,20000,IID,3,False,False
0.607608,0.6769266252,0.33523946382503095,0.7804511862314079,0.7804511862314077,0.7801445351099868,0.6306767965619188,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.668628,0.661993222,0.811903745718701,0.7607985849201515,0.7607985849201526,0.7615861924106401,0.6320074980010029,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.651729,0.6406367466,0.4848128631866151,0.5806585815833214,0.5806585815833193,0.5818399206079307,0.6747572553883036,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.649452,0.6260698002,0.6074869109003227,0.9184607880474246,0.9184607880474239,0.917108117993556,0.6203788005996803,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.680883,0.6426628492,0.7758650110570715,0.6799209002425656,0.6799209002425662,0.679869812476102,0.6543198288355978,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.645878,0.6484654552,0.3668595885869283,0.0,0.0,0.0,0.6558783008567872,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.650702,0.58887108,0.513734266929508,0.8484359392348328,0.8484359392348354,0.8482833872676667,0.6335809996268083,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.641154,0.64423345,0.7136690979225825,0.20130976985184612,0.20130976985184343,0.19722811946434465,0.5947968206881673,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.668475,0.6720486320000001,0.7801743651472797,0.5677967428298359,0.5677967428298375,0.5670568302415265,0.6591325041779909,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.7141689999999999,0.712316986,0.37395173134479276,0.0,0.0,0.0,0.6924921945201786,0.5,0.25,0.25,5000,2,0.1,1,0.02,2,20000,IID,3,False,False
0.661296,0.6175480004,0.46300321116710935,0.9147718030934203,0.9147718030934203,0.916522482398246,0.6477114415171884,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.691562,0.6313803604000001,0.22324919512508404,0.9107905340975201,0.910790534097517,0.9164562446510935,0.6851584534127506,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.684722,0.6843706679999999,0.4793373749103452,0.0,0.0,0.0,0.6750247983057132,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.614156,0.6064035824,0.06750551076051946,0.0,0.0,0.0,0.6167912456985688,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.666894,0.6506332256,0.7142443450955567,1.0,1.0,1.0,0.6326181812714624,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.682305,0.671201884,0.560172956285349,0.9332802658953896,0.9332802658953903,0.931235823008356,0.6852438404517945,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.643903,0.6427260976,0.8965719998545436,1.0,1.0,1.0,0.648807915267883,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
0.659399,0.6264855724,0.8280125146955705,0.7041495811797698,0.7041495811797698,0.6988305791289725,0.631662243338163,0.5,0.25,0.25,5000,2,0.1,1,0.02,3,20000,IID,3,False,False
