Sites,Distribution,Rep,Combat,SWD
S2,EQUAL,0,0.7843382505861829,0.78441212251104
S2,EQUAL,1,0.17494457130970945,0.17415742651834848
S2,EQUAL,2,0.31416158540717387,0.3131851625894388
S2,EQUAL,3,0.6609633940505077,0.6608876982156799
S2,EQUAL,4,0.5778761214715845,0.5764535038596221
S2,EQUAL,5,0.3590950196033992,0.3588445058067904
S2,EQUAL,6,1.0,1.0
S2,EQUAL,7,0.9366756347185148,0.9349100291513839
S2,EQUAL,8,0.11191654787993383,0.11194291371480443
S2,EQUAL,9,0.549131885690893,0.5486594689150204
S2,EQUAL,10,0.210762266156835,0.21058964181659606
S2,EQUAL,11,0.36443044282133846,0.36441058472643745
S2,EQUAL,12,1.0,1.0
S2,EQUAL,13,0.25009376996328736,0.25207961513045696
S2,EQUAL,14,0.6501459043584628,0.6500558943753133
S2,EQUAL,15,0.2725646651285795,0.2728005631105297
S2,EQUAL,16,0.2612633152467974,0.25938825784556346
S2,EQUAL,17,0.5868965921900956,0.58642645237797
S2,EQUAL,18,0.6956163759215894,0.6944134968929525
S2,EQUAL,19,1.0,1.0
S2,EQUAL,20,0.009047908690618472,0.00881002195383566
S2,EQUAL,21,0.9771178017581943,0.9770670023096861
S2,EQUAL,22,0.4295843376710912,0.4294465547419285
S2,EQUAL,23,0.5142286238798153,0.514069493635476
S2,EQUAL,24,1.0,1.0
S2,EQUAL,25,0.009359343914082907,0.00939774636892478
S2,EQUAL,26,0.6761149183938288,0.6760652118953433
S2,EQUAL,27,1.0,1.0
S2,EQUAL,28,0.8810923833940434,0.8781704526109877
S2,EQUAL,29,0.04835688853971579,0.04799864802328441
S2,EQUAL,30,0.3268724393528347,0.3271041819579593
S2,EQUAL,31,0.537944242660413,0.5362000418327627
S2,EQUAL,32,0.17749364187020256,0.17736549007202815
S2,EQUAL,33,0.19747248351117688,0.19747030958933467
S2,EQUAL,34,0.2943521416375936,0.29452109781830427
S2,EQUAL,35,0.938070905520054,0.9378701978906441
S2,EQUAL,36,0.01625265889816697,0.015805413483726462
S2,EQUAL,37,0.49354423761067273,0.49441179240726685
S2,EQUAL,38,0.3592238483846344,0.3593267899721321
S2,EQUAL,39,0.1802021019534374,0.1801843615919991
S2,EQUAL,40,0.18594199925672114,0.18558793675250762
S2,EQUAL,41,0.5208233052132956,0.5202499039166067
S2,EQUAL,42,0.06690813593049481,0.06700998152392154
S2,EQUAL,43,0.5856051911936365,0.5861643640486278
S2,EQUAL,44,0.7859054301363476,0.7853743275986961
S2,EQUAL,45,0.43828030877510177,0.43833266135285653
S2,EQUAL,46,0.8818570202175692,0.8816314018211823
S2,EQUAL,47,0.5744782146857378,0.5741948884741186
S2,EQUAL,48,0.6134400648025289,0.6101704844138112
S2,EQUAL,49,0.047123381108017004,0.046862295775285695
S2,EQUAL,50,0.35387657108020776,0.3539355217750041
S2,EQUAL,51,0.10076669569920314,0.10073125675067089
S2,EQUAL,52,0.4915115801504076,0.4924701978889794
S2,EQUAL,53,0.8339515417654089,0.8326187383310375
S2,EQUAL,54,0.5326473972918999,0.5325116192027877
S2,EQUAL,55,0.10431192092126088,0.10500057095952299
S2,EQUAL,56,0.4001826685496789,0.39865800283986946
S2,EQUAL,57,0.8532202264252935,0.8517311790650357
S2,EQUAL,58,1.0,1.0
S2,EQUAL,59,0.008231389332283236,0.008230727410404209
S2,EQUAL,60,1.0,1.0
S2,EQUAL,61,0.05178503608223539,0.05151329982415705
S2,EQUAL,62,0.8237000036990569,0.8237351271756053
S2,EQUAL,63,0.04927086302882136,0.049196656589891564
S2,EQUAL,64,0.8290528365767926,0.8284015226908161
S2,EQUAL,65,0.39987375116366397,0.4006793990665867
S2,EQUAL,66,0.6459244988722554,0.6450698900897143
S2,EQUAL,67,0.7516954635436108,0.7522967871248882
S2,EQUAL,68,0.9922902509249596,0.9917652880804162
S2,EQUAL,69,0.24490783268818564,0.24575796519987653
S2,EQUAL,70,0.5920719506380139,0.5924276989784776
S2,EQUAL,71,0.41889625292941873,0.4196076008128079
S2,EQUAL,72,0.0059508679620989295,0.0059591656756528884
S2,EQUAL,73,0.2952449241829019,0.2953804333474142
S2,EQUAL,74,0.15700563808463802,0.1538212505428312
S2,EQUAL,75,0.16183691730158445,0.16183757753341715
S2,EQUAL,76,0.815164730759361,0.8161409925561156
S2,EQUAL,77,0.23446337730423925,0.2345149291230735
S2,EQUAL,78,1.0,1.0
S2,EQUAL,79,0.03149346128004478,0.031483617861125926
S2,EQUAL,80,0.0027039758742845917,0.0027047791951863224
S2,EQUAL,81,0.17187217745115393,0.16985257140024
S2,EQUAL,82,0.6080834018277675,0.6076622142775345
S2,EQUAL,83,0.5528291976209034,0.5522703164525061
S2,EQUAL,84,0.548512289033937,0.549180677749884
S2,EQUAL,85,0.34704504052235535,0.34697414655624914
S2,EQUAL,86,0.49269528353398606,0.4911988839588045
S2,EQUAL,87,0.2971223393094951,0.2971411572441369
S2,EQUAL,88,0.03230581795317099,0.03197309155857262
S2,EQUAL,89,0.5022633593461706,0.5024204923633582
S2,EQUAL,90,0.8102143841996347,0.8107056881589285
S2,EQUAL,91,0.18344892556476233,0.18362751876988873
S2,EQUAL,92,0.2936297717786724,0.2932833556366154
S2,EQUAL,93,0.4621038333304674,0.4627449477373315
S2,EQUAL,94,1.0,1.0
S2,EQUAL,95,0.3104783714931405,0.3098703871661276
S2,EQUAL,96,1.0,1.0
S2,EQUAL,97,0.5150144104935179,0.5133016896832338
S2,EQUAL,98,0.9408125093356227,0.9402197482522731
S2,EQUAL,99,0.22225217557035734,0.2223005770001125
S2,UNEQUAL,0,0.08359103326708184,0.08357366446926519
S2,UNEQUAL,1,0.02994266920070726,0.029768003065519546
S2,UNEQUAL,2,0.8660189341948391,0.864128471157499
S2,UNEQUAL,3,1.0,1.0
S2,UNEQUAL,4,0.32430539082702775,0.3231620497477589
S2,UNEQUAL,5,0.6176457382638129,0.6177024343324141
S2,UNEQUAL,6,0.9129571000548502,0.9121678298252561
S2,UNEQUAL,7,0.19160282066757367,0.19181196481587964
S2,UNEQUAL,8,0.03303401462511982,0.03307120517572774
S2,UNEQUAL,9,0.3050745201696597,0.3062110921402082
S2,UNEQUAL,10,0.3889559801421113,0.3880317246525369
S2,UNEQUAL,11,0.9089830295263591,0.9101328609390323
S2,UNEQUAL,12,0.7055897152000244,0.7044100310289623
