h2,SE,Pheno,PCs,Covariates,Time for analysis(s),Memory Usage
NA,0.008273011142352744,abcd000_1,0,,7.311749211992719,2143.708
NA,0.008490486953608706,abcd000_1,5,,7.31990629399661,2143.708
NA,0.008509342125277505,abcd000_1,10,,7.370535850001033,2143.708
NA,0.008273011142352744,abcd000_2,0,,7.259549536000122,2143.708
NA,0.008490486953608706,abcd000_2,5,,7.285645836003823,2143.708
NA,0.008509342125277505,abcd000_2,10,,7.327647429003264,2143.708
NA,0.008273011142352744,abcd000_3,0,,7.179545746999793,2143.708
NA,0.008490486953608706,abcd000_3,5,,7.26507435500389,2143.708
NA,0.008509342125277505,abcd000_3,10,,7.304188025998883,2143.708
0.007383067909953468,0.008273011142352744,abcd003_1,0,,7.163838925000164,2143.708
0.0038255322798666147,0.008490486953608706,abcd003_1,5,,7.2706294899981,2143.708
-0.005433038937562491,0.008509342125277505,abcd003_1,10,,7.291703875001986,2143.708
-0.002791310090728016,0.008273011142352744,abcd003_2,0,,7.263146918005077,2143.708
-0.003196970041990791,0.008490486953608706,abcd003_2,5,,7.265091057997779,2143.708
-0.003636329883334032,0.008509342125277505,abcd003_2,10,,7.295214572004625,2143.708
-0.0004904519026945292,0.008273011142352744,abcd003_3,0,,7.193100402000709,2143.708
-0.003461439807430678,0.008490486953608706,abcd003_3,5,,7.358887234004214,2143.708
-0.004334920373318788,0.008509342125277505,abcd003_3,10,,7.346786695998162,2143.708
0.008842128649940365,0.008273011142352744,abcd006_1,0,,7.267119552008808,2143.708
0.008083539946994704,0.008490486953608706,abcd006_1,5,,7.283829856009106,2143.708
0.0057386786975739575,0.008509342125277505,abcd006_1,10,,7.366411189999781,2143.708
0.0030233023782038106,0.008273011142352744,abcd006_2,0,,7.222108083005878,2143.708
-0.01149621008885934,0.008490486953608706,abcd006_2,5,,7.309817535002367,2143.708
-0.012589305881506226,0.008509342125277505,abcd006_2,10,,7.33058347000042,2143.708
0.013854655292159717,0.008273011142352744,abcd006_3,0,,7.184485446996405,2143.708
0.005222080677692723,0.008490486953608706,abcd006_3,5,,7.308925679011736,2143.708
0.0004239558385247392,0.008509342125277505,abcd006_3,10,,7.344908764993306,2143.708
0.08797903092583173,0.008273011142352744,abcd030_1,0,,7.2203776110109175,2143.708
0.01855661363032435,0.008490486953608706,abcd030_1,5,,7.314007560999016,2143.708
0.015003698770899607,0.008509342125277505,abcd030_1,10,,7.342795607008156,2143.708
0.08797903092583173,0.008273011142352744,abcd030_2,0,,7.205199995994917,2143.708
0.01855661363032435,0.008490486953608706,abcd030_2,5,,7.30813895999745,2143.708
0.015003698770899607,0.008509342125277505,abcd030_2,10,,7.373736416993779,2143.708
0.08797903092583173,0.008273011142352744,abcd030_3,0,,7.175704654000583,2143.708
0.01855661363032435,0.008490486953608706,abcd030_3,5,,7.292497271002503,2143.708
0.015003698770899607,0.008509342125277505,abcd030_3,10,,7.301691529006348,2143.708
0.03791709269484274,0.008273011142352744,abcd033_1,0,,7.176502266011084,2143.708
0.002886639561527306,0.008490486953608706,abcd033_1,5,,7.267245523995371,2143.708
-0.0027761955294957133,0.008509342125277505,abcd033_1,10,,7.306179088991485,2143.708
0.025833634287121817,0.008273011142352744,abcd033_2,0,,7.170048971005599,2143.708
-0.0037075934316400383,0.008490486953608706,abcd033_2,5,,7.285501637001289,2143.708
-0.0042671930550387226,0.008509342125277505,abcd033_2,10,,7.304734926001402,2143.708
0.04010537463868771,0.008273011142352744,abcd033_3,0,,7.178556596991257,2143.708
0.01341922725881364,0.008490486953608706,abcd033_3,5,,7.302239772005123,2143.708
0.013729037313818884,0.008509342125277505,abcd033_3,10,,7.306198467995273,2143.708
0.07954047590506708,0.008273011142352744,abcd060_1,0,,7.1699268049997045,2143.708
-0.014948289802976253,0.008490486953608706,abcd060_1,5,,7.2822234140039654,2143.708
-0.014844245351551311,0.008509342125277505,abcd060_1,10,,7.336698896004236,2143.708
0.07954047590506708,0.008273011142352744,abcd060_2,0,,7.205141617989284,2143.708
-0.014948289802976253,0.008490486953608706,abcd060_2,5,,7.276646600003005,2143.708
-0.014844245351551311,0.008509342125277505,abcd060_2,10,,7.309890517994063,2143.708
0.07954047590506708,0.008273011142352744,abcd060_3,0,,7.196921673006727,2143.708
-0.014948289802976253,0.008490486953608706,abcd060_3,5,,7.3070333389914595,2143.708
-0.014844245351551311,0.008509342125277505,abcd060_3,10,,7.389251234999392,2143.708
0.67300698114212,0.008273011142352744,abcd300_1,0,,7.237503119002213,2143.708
0.5357910185711472,0.008490486953608706,abcd300_1,5,,7.3362573420017725,2143.708
0.4848923618347068,0.008509342125277505,abcd300_1,10,,7.366793349006912,2143.708
0.8167029138301899,0.008273011142352744,abcd300_2,0,,7.229959682008484,2143.708
0.6270452900310902,0.008490486953608706,abcd300_2,5,,7.2777978380036075,2143.708
0.5784019077054876,0.008509342125277505,abcd300_2,10,,7.3088643189985305,2143.708
0.7675741705480168,0.008273011142352744,abcd300_3,0,,7.188208683000994,2143.708
0.4949196580404914,0.008490486953608706,abcd300_3,5,,7.2903554479999,2143.708
0.42733537335464955,0.008509342125277505,abcd300_3,10,,7.315547405989491,2143.708
0.37701242742999813,0.008273011142352744,abcd303_1,0,,7.188199811003869,2143.708
0.29507128057595217,0.008490486953608706,abcd303_1,5,,7.284703432000242,2143.708
0.2548499732986221,0.008509342125277505,abcd303_1,10,,7.383347559996764,2143.708
0.3051764087311663,0.008273011142352744,abcd303_2,0,,7.320351272006519,2143.708
0.2652463570901628,0.008490486953608706,abcd303_2,5,,7.284696684000664,2143.708
0.2661341139711191,0.008509342125277505,abcd303_2,10,,7.307546677999198,2143.708
0.44039528755074214,0.008273011142352744,abcd303_3,0,,7.20212914700096,2143.708
0.25874200630081295,0.008490486953608706,abcd303_3,5,,7.287135769001907,2143.708
0.22807559169973604,0.008509342125277505,abcd303_3,10,,7.3163522300019395,2143.708
0.769817948772026,0.008273011142352744,abcd330_1,0,,7.235174740999355,2143.708
0.4331924552327482,0.008490486953608706,abcd330_1,5,,7.303293436998501,2143.708
0.36584510531293046,0.008509342125277505,abcd330_1,10,,7.332885165989865,2143.708
2.3172871544047315,0.008273011142352744,abcd330_2,0,,7.228690554999048,2143.708
0.36245280063255825,0.008490486953608706,abcd330_2,5,,7.2764376910054125,2143.708
0.33580555767415976,0.008509342125277505,abcd330_2,10,,7.313363206994836,2143.708
0.36299061275929595,0.008273011142352744,abcd330_3,0,,7.170755801998894,2143.708
0.34928923645479965,0.008490486953608706,abcd330_3,5,,7.267840223998064,2143.708
0.3355346318978631,0.008509342125277505,abcd330_3,10,,7.302660835994175,2143.708
0.7651289235434943,0.008273011142352744,abcd600_1,0,,7.175009696002235,2143.708
